name,collectedAt,timestamp,value
teastore-persistence,1623318019.6096373,1623318019.879,2
teastore-recommender,1623318019.6096373,1623318019.879,1
teastore-registry,1623318019.6096373,1623318019.879,1
teastore-webui,1623318019.6096373,1623318019.879,8
cilium-operator,1623318024.6136634,1623318025.445,1
coredns,1623318024.6136634,1623318025.445,2
grafana,1623318024.6136634,1623318025.445,1
kube-state-metrics,1623318024.6136634,1623318025.445,1
metrics-server,1623318024.6136634,1623318025.445,1
metrics-server-exporter,1623318024.6136634,1623318025.445,1
prometheus-deployment,1623318024.6136634,1623318025.445,1
teastore-auth,1623318024.6136634,1623318025.445,2
teastore-db,1623318024.6136634,1623318025.445,1
teastore-image,1623318024.6136634,1623318025.445,1
teastore-persistence,1623318024.6136634,1623318025.445,2
teastore-recommender,1623318024.6136634,1623318025.445,1
teastore-registry,1623318024.6136634,1623318025.445,1
teastore-webui,1623318024.6136634,1623318025.445,8
cilium-operator,1623318029.617633,1623318029.897,1
coredns,1623318029.617633,1623318029.897,2
grafana,1623318029.617633,1623318029.897,1
kube-state-metrics,1623318029.617633,1623318029.897,1
metrics-server,1623318029.617633,1623318029.897,1
metrics-server-exporter,1623318029.617633,1623318029.897,1
prometheus-deployment,1623318029.617633,1623318029.897,1
teastore-auth,1623318029.617633,1623318029.897,2
teastore-db,1623318029.617633,1623318029.897,1
teastore-image,1623318029.617633,1623318029.897,1
teastore-persistence,1623318029.617633,1623318029.897,2
teastore-recommender,1623318029.617633,1623318029.897,1
teastore-registry,1623318029.617633,1623318029.897,1
teastore-webui,1623318029.617633,1623318029.897,8
cilium-operator,1623318034.6223497,1623318035.981,1
coredns,1623318034.6223497,1623318035.981,2
grafana,1623318034.6223497,1623318035.981,1
kube-state-metrics,1623318034.6223497,1623318035.981,1
metrics-server,1623318034.6223497,1623318035.981,1
metrics-server-exporter,1623318034.6223497,1623318035.981,1
prometheus-deployment,1623318034.6223497,1623318035.981,1
teastore-auth,1623318034.6223497,1623318035.981,2
teastore-db,1623318034.6223497,1623318035.981,1
teastore-image,1623318034.6223497,1623318035.981,1
teastore-persistence,1623318034.6223497,1623318035.981,2
teastore-recommender,1623318034.6223497,1623318035.981,1
teastore-registry,1623318034.6223497,1623318035.981,1
teastore-webui,1623318034.6223497,1623318035.981,8
cilium-operator,1623318039.6257846,1623318040.06,1
coredns,1623318039.6257846,1623318040.06,2
grafana,1623318039.6257846,1623318040.06,1
kube-state-metrics,1623318039.6257846,1623318040.06,1
metrics-server,1623318039.6257846,1623318040.06,1
metrics-server-exporter,1623318039.6257846,1623318040.06,1
prometheus-deployment,1623318039.6257846,1623318040.06,1
teastore-auth,1623318039.6257846,1623318040.06,2
teastore-db,1623318039.6257846,1623318040.06,1
teastore-image,1623318039.6257846,1623318040.06,1
teastore-persistence,1623318039.6257846,1623318040.06,2
teastore-recommender,1623318039.6257846,1623318040.06,1
teastore-registry,1623318039.6257846,1623318040.06,1
teastore-webui,1623318039.6257846,1623318040.06,8
cilium-operator,1623318044.6295025,1623318044.894,1
coredns,1623318044.6295025,1623318044.894,2
grafana,1623318044.6295025,1623318044.894,1
kube-state-metrics,1623318044.6295025,1623318044.894,1
metrics-server,1623318044.6295025,1623318044.894,1
metrics-server-exporter,1623318044.6295025,1623318044.894,1
prometheus-deployment,1623318044.6295025,1623318044.894,1
teastore-auth,1623318044.6295025,1623318044.894,2
teastore-db,1623318044.6295025,1623318044.894,1
teastore-image,1623318044.6295025,1623318044.894,1
teastore-persistence,1623318044.6295025,1623318044.894,2
teastore-recommender,1623318044.6295025,1623318044.894,1
teastore-registry,1623318044.6295025,1623318044.894,1
teastore-webui,1623318044.6295025,1623318044.894,10
cilium-operator,1623318049.6335852,1623318049.901,1
coredns,1623318049.6335852,1623318049.901,2
grafana,1623318049.6335852,1623318049.901,1
kube-state-metrics,1623318049.6335852,1623318049.901,1
metrics-server,1623318049.6335852,1623318049.901,1
metrics-server-exporter,1623318049.6335852,1623318049.901,1
prometheus-deployment,1623318049.6335852,1623318049.901,1
teastore-auth,1623318049.6335852,1623318049.901,2
teastore-db,1623318049.6335852,1623318049.901,1
teastore-image,1623318049.6335852,1623318049.901,1
teastore-persistence,1623318049.6335852,1623318049.901,2
teastore-recommender,1623318049.6335852,1623318049.901,1
teastore-registry,1623318049.6335852,1623318049.901,1
teastore-webui,1623318049.6335852,1623318049.901,10
cilium-operator,1623318054.6386664,1623318054.916,1
coredns,1623318054.6386664,1623318054.916,2
grafana,1623318054.6386664,1623318054.916,1
kube-state-metrics,1623318054.6386664,1623318054.916,1
metrics-server,1623318054.6386664,1623318054.916,1
metrics-server-exporter,1623318054.6386664,1623318054.916,1
prometheus-deployment,1623318054.6386664,1623318054.916,1
teastore-auth,1623318054.6386664,1623318054.916,2
teastore-db,1623318054.6386664,1623318054.916,1
teastore-image,1623318054.6386664,1623318054.916,1
teastore-persistence,1623318054.6386664,1623318054.916,2
teastore-recommender,1623318054.6386664,1623318054.916,1
teastore-registry,1623318054.6386664,1623318054.916,1
teastore-webui,1623318054.6386664,1623318054.916,10
cilium-operator,1623318059.6425233,1623318060.067,1
